company,ticker,date,close
"Caterpillar Inc",CAT,"2025-05-21 16:00:00",342.51
"Caterpillar Inc",CAT,"2025-05-22 16:00:00",342.51
"Caterpillar Inc",CAT,"2025-05-23 16:00:00",343.39
"Caterpillar Inc",CAT,"2025-05-27 16:00:00",351.51
"Caterpillar Inc",CAT,"2025-05-28 16:00:00",349.49
"Caterpillar Inc",CAT,"2025-05-29 16:00:00",351.79
"Caterpillar Inc",CAT,"2025-05-30 16:00:00",348.03
"Caterpillar Inc",CAT,"2025-06-02 16:00:00",344.67
"Caterpillar Inc",CAT,"2025-06-03 16:00:00",349.4
"Caterpillar Inc",CAT,"2025-06-04 16:00:00",349.33
"Caterpillar Inc",CAT,"2025-06-05 16:00:00",348.96
"Caterpillar Inc",CAT,"2025-06-06 16:00:00",353.35
"Caterpillar Inc",CAT,"2025-06-09 16:00:00",358.07
"Caterpillar Inc",CAT,"2025-06-10 16:00:00",358.57
"Caterpillar Inc",CAT,"2025-06-11 16:00:00",363.14
"Caterpillar Inc",CAT,"2025-06-12 16:00:00",360.96
"Caterpillar Inc",CAT,"2025-06-13 16:00:00",357.05
"Caterpillar Inc",CAT,"2025-06-16 16:00:00",362.44
"Caterpillar Inc",CAT,"2025-06-17 16:00:00",357.68
"Caterpillar Inc",CAT,"2025-06-18 16:00:00",359.8
"Caterpillar Inc",CAT,"2025-06-20 16:00:00",360.52
"Caterpillar Inc",CAT,"2025-06-23 16:00:00",366.23
"Caterpillar Inc",CAT,"2025-06-24 16:00:00",373.02
"Caterpillar Inc",CAT,"2025-06-25 16:00:00",371.58
"Caterpillar Inc",CAT,"2025-06-26 16:00:00",381.88
"Caterpillar Inc",CAT,"2025-06-27 16:00:00",384.71
"Caterpillar Inc",CAT,"2025-06-30 16:00:00",388.21
"Caterpillar Inc",CAT,"2025-07-01 16:00:00",390.92
"Caterpillar Inc",CAT,"2025-07-02 16:00:00",398.43
"Caterpillar Inc",CAT,"2025-07-03 13:00:00",397.86
"Caterpillar Inc",CAT,"2025-07-07 16:00:00",391.51
"Caterpillar Inc",CAT,"2025-07-08 16:00:00",394.29
